"","X","title","main_speaker","new_views","published_date","description","speaker_occupation","num_speaker","duration","comments","tags","languages","url","funny","courageous","confusing","beautiful","unconvincing","longwinded","informative","inspiring","fascinating","ingenious","persuasive","jawdrop","obnoxious","OK","top_rating","bottom_rating"
"11",11,"Why we do what we do","Tony Robbins",15816257.52,"28-06-2006","Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.","Life coach; expert in leadership psychology",1,1305,672,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",36,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335,"fascinating","informative"
"12",12,"The puzzle of motivation","Dan Pink",15644250.43,"24-08-2009","Career analyst Dan Pink examines the puzzle of motivation, starting with a fact that social scientists know but most managers don't: Traditional rewards aren't always as effective as we think. Listen for illuminating stories -- and maybe, a way forward.","Career analyst",1,1116,1094,"['brain', 'business', 'creativity', 'motivation', 'science', 'social change', 'work']",44,"https://www.ted.com/talks/dan_pink_on_motivation
",3810,4278,4772,4797,184,133,152,483,1191,489,1067,825,348,86,"beautiful","OK"
"13",13,"The power of introverts","Susan Cain",15578275.53,"03-03-2012","In a culture where being social and outgoing are prized above all else, it can be difficult, even shameful, to be an introvert. But, as Susan Cain argues in this passionate talk, introverts bring extraordinary talents and abilities to the world, and should be encouraged and celebrated.","Quiet revolutionary",1,1144,1155,"['business', 'culture', 'introvert', 'psychology']",44,"https://www.ted.com/talks/susan_cain_the_power_of_introverts
",3365,3157,10218,3623,830,80,1049,163,147,469,3944,2467,442,83,"confusing","longwinded"
"14",14,"How to spot a liar","Pamela Meyer",14763250.77,"13-10-2011","On any given day we're lied to from 10 to 200 times, and the clues to detect those lie can be subtle and counter-intuitive. Pamela Meyer, author of Liespotting, shows the manners and ""hotspots"" used by those trained to recognize deception -- and she argues honesty is a value worth preserving.","Lie detector",1,1130,561,"['culture', 'psychology', 'science', 'society']",39,"https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar
",1312,866,95,2076,3306,493,406,221,331,321,139,63,174,140,"unconvincing","jawdrop"
"15",15,"The happy secret to better work","Shawn Achor",14295811.22,"02-02-2012","We believe we should work hard in order to be happy, but could we be thinking about things backwards? In this fast-moving and very funny talk, psychologist Shawn Achor argues that, actually, happiness inspires us to be more productive.","Psychologist",1,740,754,"['TEDx', 'brain', 'business', 'cognitive science', 'depression', 'happiness', 'health', 'innovation', 'mental health', 'mind', 'motivation', 'productivity', 'psychology', 'science', 'social change', 'sociology', 'work']",46,"https://www.ted.com/talks/shawn_achor_the_happy_secret_to_better_work
",11213,1007,3426,7315,3886,2529,471,683,1162,206,82,61,78,61,"funny","jawdrop"
"16",16,"Inside the mind of a master procrastinator","Tim Urban",14276851.28,"16-03-2016","Tim Urban knows that procrastination doesn't make sense, but he's never been able to shake his habit of waiting until the last minute to get things done. In this hilarious and insightful talk, Urban takes us on a journey through YouTube binges, Wikipedia rabbit holes and bouts of staring out the window -- and encourages us to think harder about what we're really procrastinating on, before we run out of time.","Blogger",1,843,310,"['Internet', 'brain', 'choice', 'comedy', 'decision-making', 'entertainment', 'goal-setting', 'humor', 'mind', 'online video', 'productivity', 'time', 'visualizations', 'work', 'writing']",40,"https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator
",1026,2349,722,7445,1957,4387,1864,1770,326,280,65,53,43,22,"beautiful","OK"
"17",17,"The art of misdirection","Apollo Robbins",13996021.47,"14-09-2013","Hailed as the greatest pickpocket in the world, Apollo Robbins studies the quirks of human behavior as he steals your watch. In a hilarious demonstration, Robbins samples the buffet of the TEDGlobal 2013 audience, showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owner¡¯s shoulder while they remain clueless.","Gentleman thief",1,527,285,"['crime', 'entertainment']",37,"https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection
",418,1873,1864,714,146,1660,84,143,411,221,19,21,35,79,"courageous","persuasive"
"18",18,"The thrilling potential of SixthSense technology","Pranav Mistry",13450576.25,"16-11-2009","At TEDIndia, Pranav Mistry demos several tools that help the physical world interact with the world of data -- including a deep look at his SixthSense device and a new, paradigm-shifting paper ""laptop."" In an onstage Q&A, Mistry says he'll open-source the software behind SixthSense, to open its possibilities to all.","Director of research, Samsung Research America",1,830,1329,"['demo', 'design', 'open-source', 'technology']",42,"https://www.ted.com/talks/pranav_mistry_the_thrilling_potential_of_sixthsense_technology
",8416,4743,4403,4702,1904,535,663,761,171,83,108,165,85,341,"funny","ingenious"
"19",19,"How to make stress your friend","Kelly McGonigal",13332089.41,"04-09-2013","Stress. It makes your heart pound, your breathing quicken and your forehead sweat. But while stress has been made into a public health enemy, new research suggests that stress may only be bad for you if you believe that to be the case. Psychologist Kelly McGonigal urges us to see stress as a positive, and introduces us to an unsung mechanism for stress reduction: reaching out to others.","Health psychologist",1,868,693,"['body language', 'health', 'psychology']",47,"https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend
",5248,1994,3904,510,4678,71,888,645,697,438,56,230,347,68,"funny","persuasive"
"20",20,"How I held my breath for 17 minutes","David Blaine",13093941.99,"19-01-2010","In this highly personal talk from TEDMED, magician and stuntman David Blaine describes what it took to hold his breath underwater for 17 minutes -- a world record (only two minutes shorter than this entire talk!) -- and what his often death-defying work means to him. Warning: do NOT try this at home.","Illusionist, endurance artist",1,1219,296,"['biology', 'magic', 'medicine', 'performance']",34,"https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_min
",913,897,61,738,722,52,75,236,111,38,97,147,43,17,"funny","OK"
"21",21,"The surprising science of happiness","Dan Gilbert",11307556.17,"26-09-2006","Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we¡¯ll be miserable if we don¡¯t get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don¡¯t go as planned.","Psychologist; happiness expert",1,1276,970,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",43,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
",1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67,"ingenious","OK"
"22",22,"Underwater astonishments","David Gallo",11097201.13,"11-01-2008","David Gallo shows jaw-dropping footage of amazing sea creatures, including a color-shifting cuttlefish, a perfectly camouflaged octopus, and a Times Square's worth of neon light displays from fish who live in the blackest depths of the ocean. This short talk celebrates the pioneering work of ocean explorers like Edith Widder and Roger Hanlon.","Oceanographer",1,327,554,"['animals', 'evolution', 'exploration', 'fish', 'oceans', 'science', 'technology']",47,"https://www.ted.com/talks/david_gallo_shows_underwater_astonishments
",8328,8448,5201,3875,815,1647,236,543,95,322,216,80,126,79,"courageous","OK"
"23",23,"The danger of a single story","Chimamanda Ngozi Adichie",11081458.08,"07-10-2009","Our lives, our cultures, are composed of many overlapping stories. Novelist Chimamanda Adichie tells the story of how she found her authentic cultural voice -- and warns that if we hear only a single story about another person or country, we risk a critical misunderstanding.","Novelist",1,1129,1155,"['Africa', 'books', 'culture', 'identity', 'storytelling', 'writing']",46,"https://www.ted.com/talks/chimamanda_adichie_the_danger_of_a_single_story
",5607,9566,2817,109,3002,2687,948,78,713,2983,103,744,333,85,"courageous","inspiring"
"24",24,"Grit: The power of passion and perseverance","Angela Lee Duckworth",10938189.14,"09-05-2013","Leaving a high-flying job in consulting, Angela Lee Duckworth took a job teaching math to seventh graders in a New York public school. She quickly realized that IQ wasn't the only thing separating the successful students from those who struggled. Here, she explains her theory of ""grit"" as a predictor of success.","Psychologist",1,372,659,"['business', 'education', 'psychology', 'success']",49,"https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance
",4847,374,2420,1380,597,866,464,464,47,87,181,65,148,129,"funny","fascinating"
"25",25,"The price of shame","Monica Lewinsky",10842690.08,"21-03-2015","""Public shaming as a blood sport has to stop,"" says Monica Lewinsky. In 1998, she says, ¡°I was Patient Zero of losing a personal reputation on a global scale almost instantaneously.¡± Today, the kind of online public shaming she went through has become constant -- and can turn deadly. In a brave talk, she takes a hard look at our online culture of humiliation, and asks for a different way.","Social activist",1,1346,1355,"['communication', 'media', 'social media', 'suicide', 'technology']",41,"https://www.ted.com/talks/monica_lewinsky_the_price_of_shame
",8668,2356,190,311,180,5126,1919,1600,143,151,284,584,202,62,"funny","OK"
"26",26,"Your elusive creative genius","Elizabeth Gilbert",10781264.42,"09-02-2009","Elizabeth Gilbert muses on the impossible things we expect from artists and geniuses -- and shares the radical idea that, instead of the rare person ""being"" a genius, all of us ""have"" a genius. It's a funny, personal and surprisingly moving talk.","Writer",1,1149,1604,"['creativity', 'culture', 'entertainment', 'personality', 'poetry', 'work', 'writing']",49,"https://www.ted.com/talks/elizabeth_gilbert_on_genius
",4027,738,2239,8130,1329,1754,546,351,182,870,553,2093,1206,138,"beautiful","OK"
"27",27,"Brain magic","Keith Barry",10764613.99,"18-07-2008","First, Keith Barry shows us how our brains can fool our bodies -- in a trick that works via podcast too. Then he involves the audience in some jaw-dropping (and even a bit dangerous) feats of brain magic.","Magician",1,1189,669,"['brain', 'entertainment', 'illusion', 'magic']",28,"https://www.ted.com/talks/keith_barry_does_brain_magic
",273,3715,803,206,2555,267,1819,336,252,505,161,137,208,79,"courageous","OK"
"28",28,"The secret to desire in a long-term relationship","Esther Perel",9510287.481,"15-02-2013","In long-term relationships, we often expect our beloved to be both best friend and erotic partner. But as Esther Perel argues, good and committed sex draws on two conflicting needs: our need for security and our need for surprise. So how do you sustain desire? With wit and eloquence, Perel lets us in on the mystery of erotic intelligence.","Relationship therapist",1,1150,473,"['culture', 'love', 'relationships', 'sex']",35,"https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship
",1205,2253,1068,2146,2008,389,270,588,438,174,73,73,37,63,"courageous","obnoxious"
"29",29,"The astounding athletic power of quadcopters","Raffaello D'Andrea",9360502.298,"12-06-2013","In a robot lab at TEDGlobal, Raffaello D'Andrea demos his flying quadcopters: robots that think like athletes, solving physical problems with algorithms that help them learn. In a series of nifty demos, D'Andrea show drones that play catch, balance and make decisions together -- and watch out for an I-want-this-now demo of Kinect-controlled quads.","Autonomous systems pioneer",1,968,309,"['drones', 'robots', 'technology']",32,"https://www.ted.com/talks/raffaello_d_andrea_the_astounding_athletic_power_of_quadcopters
",932,1183,1237,138,205,325,551,33,75,47,9,21,3,18,"confusing","obnoxious"
"30",30,"The best stats you've ever seen","Hans Rosling",9179803.467,"28-06-2006","You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""","Global health expert; data visionary",1,1190,593,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",48,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",3202,1390,942,318,110,72,67,5433,2893,4606,3736,2542,248,61,"inspiring","OK"
"31",31,"If I should have a daughter ...","Sarah Kay",9093220.786,"19-03-2011","""If I should have a daughter, instead of Mom, she's gonna call me Point B ... "" began spoken word poet Sarah Kay, in a talk that inspired two standing ovations at TED2011. She tells the story of her metamorphosis -- from a wide-eyed teenager soaking in verse at New York's Bowery Poetry Club to a teacher connecting kids with the power of self-expression through Project V.O.I.C.E. -- and gives two breathtaking performances of ""B"" and ""Hiroshima.""","Poet",1,1105,645,"['entertainment', 'performance', 'poetry', 'storytelling']",42,"https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter
",1567,4986,4430,1220,498,116,76,77,1266,348,612,107,118,174,"courageous","informative"
"32",32,"Strange answers to the psychopath test","Jon Ronson",9081014.505,"16-08-2012","Is there a definitive line that divides crazy from sane? With a hair-raising delivery, Jon Ronson, author of The Psychopath Test, illuminates the gray areas between the two. (With live-mixed sound by Julian Treasure and animation by Evan Grant.)","Writer and filmmaker",1,1081,439,"['culture', 'mind', 'prison', 'storytelling']",30,"https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test
",356,1417,684,283,580,227,259,121,86,52,170,221,151,70,"courageous","ingenious"
"33",33,"How to stay calm when you know you'll be stressed","Daniel Levitin",8800524.821,"31-10-2015","You're not at your best when you're stressed. In fact, your brain has evolved over millennia to release cortisol in stressful situations, inhibiting rational, logical thinking but potentially helping you survive, say, being attacked by a lion. Neuroscientist Daniel Levitin thinks there's a way to avoid making critical mistakes in stressful situations, when your thinking becomes clouded -- the pre-mortem. ""We all are going to fail now and then,"" he says. ""The idea is to think ahead to what those failures might be.""","Neuroscientist",1,740,129,"['brain', 'cognitive science', 'health', 'medicine', 'memory', 'mental health', 'neuroscience']",38,"https://www.ted.com/talks/daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed
",341,100,479,1175,359,290,365,194,115,34,109,76,64,40,"beautiful","ingenious"
"34",34,"My escape from North Korea","Hyeonseo Lee",8649892.465,"20-03-2013","As a child growing up in North Korea, Hyeonseo Lee thought her country was ""the best on the planet."" It wasn't until the famine of the 90s that she began to wonder. She escaped the country at 14, to begin a life in hiding, as a refugee in China. Hers is a harrowing, personal tale of survival and hope -- and a powerful reminder of those who face constant danger, even when the border is far behind.","Activist",1,735,902,"['Asia', 'culture', 'family', 'global issues']",41,"https://www.ted.com/talks/hyeonseo_lee_my_escape_from_north_korea
",507,53,20,17,1941,1208,123,401,345,355,133,34,37,39,"unconvincing","beautiful"
"35",35,"8 secrets of success","Richard St. John",8394503.782,"14-12-2006","Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.","Marketer, success analyst",1,210,578,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",66,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
",2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57,"unconvincing","ingenious"
"36",36,"Beats that defy boxes","Reggie Watts",8276885.902,"26-05-2012","Reggie Watts' beats defy boxes. Unplug your logic board and watch as he blends poetry and crosses musical genres in this larger-than-life performance.","Vocalist, beatboxer, comedian",1,583,253,"['comedy', 'entertainment', 'humor', 'live music', 'music', 'performance', 'poetry']",28,"https://www.ted.com/talks/reggie_watts_disorients_you_in_the_most_entertaining_way
",225,1167,669,490,218,402,95,199,46,54,65,25,72,19,"courageous","OK"
"37",37,"I got 99 problems ... palsy is just one","Maysoon Zayid",8189093.528,"04-01-2014","""I have cerebral palsy. I shake all the time,"" Maysoon Zayid announces at the beginning of this exhilarating, hilarious talk. (Really, it's hilarious.) ""I'm like Shakira meets Muhammad Ali."" With grace and wit, the Arab-American comedian takes us on a whistle-stop tour of her adventures as an actress, stand-up comic, philanthropist and advocate for the disabled.","Comedian and writer ",1,853,683,"['comedy', 'entertainment', 'humor', 'women']",42,"https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one
",2111,2779,3420,1107,269,180,580,175,97,50,22,14,9,5,"confusing","OK"
"38",38,"10 ways to have a better conversation","Celeste Headlee",8163016.86,"17-02-2016","When your job hinges on how well you talk to people, you learn a lot about how to have conversations -- and that most of us don't converse very well. Celeste Headlee has worked as a radio host for decades, and she knows the ingredients of a great conversation: Honesty, brevity, clarity and a healthy amount of listening. In this insightful talk, she shares 10 useful rules for having better conversations. ""Go out, talk to people, listen to people,"" she says. ""And, most importantly, be prepared to be amazed.""","Writer and radio host",1,704,215,"['TEDx', 'communication', 'interview', 'language', 'personal growth']",39,"https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation
",1494,531,1843,1754,3599,30,1704,2853,199,38,200,115,35,26,"unconvincing","OK"
"39",39,"The art of asking","Amanda Palmer",8146795.826,"02-03-2013","Don't make people pay for music, says Amanda Palmer: Let them. In a passionate talk that begins in her days as a street performer (drop a dollar in the hat for the Eight-Foot Bride!), she examines the new relationship between artist and fan.","Musician, blogger",1,827,838,"['TED Brain Trust', 'business', 'entertainment', 'music', 'performance art']",40,"https://www.ted.com/talks/amanda_palmer_the_art_of_asking
",753,1647,1658,3013,762,211,261,178,380,81,116,71,38,24,"beautiful","OK"
"40",40,"Why 30 is not the new 20","Meg Jay",8141076.916,"14-05-2013","Clinical psychologist Meg Jay has a bold message for twentysomethings: Contrary to popular belief, your 20s are not a throwaway decade. In this provocative talk, Jay says that just because marriage, work and kids are happening later in life, doesn¡¯t mean you can¡¯t start planning now. She gives 3 pieces of advice for how twentysomethings can re-claim adulthood in the defining decade of their lives.","Clinical psychologist",1,889,937,"['aging', 'culture', 'goal-setting', 'youth']",34,"https://www.ted.com/talks/meg_jay_why_30_is_not_the_new_20
",201,1428,684,3035,407,1221,400,93,175,119,208,77,84,38,"beautiful","OK"
"41",41,"Meet the SixthSense interaction","Pattie Maes + Pranav Mistry",8009587.848,"10-03-2009","This demo -- from Pattie Maes' lab at MIT, spearheaded by Pranav Mistry -- was the buzz of TED. It's a wearable device with a projector that paves the way for profound interaction with our environment. Imagine ""Minority Report"" and then some.","Researcher",2,522,768,"['demo', 'design', 'interface design', 'technology']",43,"https://www.ted.com/talks/pattie_maes_demos_the_sixth_sense
",444,2366,1079,2467,3371,186,1819,158,332,91,313,237,87,76,"unconvincing","OK"
"42",42,"The orchestra in my mouth","Tom Thum",7928569.395,"20-07-2013","In a highly entertaining performance, beatboxer Tom Thum slings beats, comedy and a mouthful of instrumental impersonations into 11 minutes of creativity and fun that will make you smile.","Beatboxer",1,701,173,"['TEDx', 'creativity', 'live music', 'music']",37,"https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth
",902,188,273,638,899,280,70,11,30,8,34,11,9,11,"funny","ingenious"
"43",43,"A simple way to break a bad habit","Judson Brewer",7830446.367,"04-02-2016","Can we break bad habits by being more curious about them? Psychiatrist Judson Brewer studies the relationship between mindfulness and addiction -- from smoking to overeating to all those other things we do even though we know they're bad for us. Learn more about the mechanism of habit development and discover a simple but profound tactic that might help you beat your next urge to smoke, snack or check a text while driving.","Mindful addiction doctor",1,564,129,"['Addiction', 'TEDMED', 'brain', 'choice', 'cognitive science', 'curiosity', 'decision-making', 'health', 'illness', 'meditation', 'mental health', 'mind', 'mindfulness', 'motivation', 'nature', 'neuroscience', 'obesity', 'personal growth', 'science']",38,"https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit
",1987,887,172,1209,673,55,126,223,241,60,48,36,51,4,"funny","OK"
"44",44,"Rethinking infidelity ... a talk for anyone who has ever loved","Esther Perel",7816664.252,"21-05-2015","Infidelity is the ultimate betrayal. But does it have to be? Relationship therapist Esther Perel examines why people cheat, and unpacks why affairs are so traumatic: because they threaten our emotional security. In infidelity, she sees something unexpected ? an expression of longing and loss. A must-watch for anyone who has ever cheated or been cheated on, or who simply wants a new framework for understanding relationships.","Relationship therapist",1,1291,370,"['culture', 'love', 'relationships', 'sex']",32,"https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved
",2479,2199,361,1760,761,426,877,310,359,62,141,40,21,33,"funny","obnoxious"
"45",45,"The paradox of choice","Barry Schwartz",7698358.119,"26-09-2006","Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.","Psychologist",1,1177,991,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",45,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
",1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115,"longwinded","ingenious"
"46",46,"Try something new for 30 days","Matt Cutts",7686200.052,"02-07-2011","Is there something you've always meant to do, wanted to do, but just ... haven't? Matt Cutts suggests: Try it for 30 days. This short, lighthearted talk offers a neat way to think about setting and achieving goals.","Technologist",1,207,736,"['culture', 'success']",72,"https://www.ted.com/talks/matt_cutts_try_something_new_for_30_days
",6171,1977,1427,386,680,542,560,322,528,111,128,36,30,25,"funny","OK"
"47",47,"How to live before you die","Steve Jobs",7652473.535,"06-10-2011","At his Stanford University commencement speech, Steve Jobs, CEO and co-founder of Apple and Pixar, urges us to pursue our dreams and see the opportunities in life's setbacks -- including death itself.","Visionary",1,904,1627,"['business', 'computers', 'creativity', 'death', 'design', 'goal-setting', 'innovation', 'life', 'technology']",0,"https://www.ted.com/talks/steve_jobs_how_to_live_before_you_die
",17290,3364,1197,3854,4151,2606,2051,134,783,158,863,1368,138,201,"funny","inspiring"
"48",48,"The transformative power of classical music","Benjamin Zander",7511894.359,"25-06-2008","Benjamin Zander has two infectious passions: classical music, and helping us all realize our untapped love for it -- and by extension, our untapped love for all new possibilities, new experiences, new connections.","Conductor",1,1243,638,"['conducting', 'creativity', 'culture', 'entertainment', 'live music', 'music', 'performance']",45,"https://www.ted.com/talks/benjamin_zander_on_music_and_passion
",5967,1960,8108,2736,639,1303,1291,396,900,143,47,36,37,28,"confusing","OK"
"49",49,"Everything you think you know about addiction is wrong","Johann Hari",7479793.734,"10-07-2015","What really causes addiction -- to everything from cocaine to smart-phones? And how can we overcome it? Johann Hari has seen our current methods fail firsthand, as he has watched loved ones struggle to manage their addictions. He started to wonder why we treat addicts the way we do -- and if there might be a better way. As he shares in this deeply personal talk, his questions took him around the world, and unearthed some surprising and hopeful ways of thinking about an age-old problem.","Journalist",1,882,767,"['Addiction', 'culture', 'narcotics', 'policy', 'society']",35,"https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong
",2247,131,167,3734,4219,1849,1112,1897,106,15,488,21,497,94,"unconvincing","ingenious"
